name,url,star,review,price,pop_score
牡蠣と寿司 一刀,https://tabelog.com/ishikawa/A1701/A170101/17015852/,3.02,2,3000,3.3178091117776916
麺餃王 額谷店,https://tabelog.com/ishikawa/A1701/A170101/17015752/,3.06,7,1000,6.363091117540297
双喜亭 金沢店,https://tabelog.com/ishikawa/A1701/A170101/17001276/,3.05,29,1000,10.373652014069574
にんにくたまごラーメン 金沢トラックステーション店,https://tabelog.com/ishikawa/A1701/A170101/17005853/,3.16,75,999,13.685117355304806
士朗商店,https://tabelog.com/ishikawa/A1701/A170101/17014074/,3.42,57,999,13.886715096068754
味噌ラー 一二三 金沢間明店,https://tabelog.com/ishikawa/A1701/A170101/17014120/,3.36,44,1000,12.790385965628273
８番らーめん 城北南店,https://tabelog.com/ishikawa/A1701/A170101/17005649/,3.02,24,1000,9.721004991101966
石川県職員互助会食堂,https://tabelog.com/ishikawa/A1701/A170101/17007048/,3.09,27,999,10.296511936441378
近江町ラーメン,https://tabelog.com/ishikawa/A1701/A170101/17014718/,3.09,31,1000,10.709123939651155
一世風靡,https://tabelog.com/ishikawa/A1701/A170101/17000145/,3.33,82,999,14.714739223962672
らーめん世界 福久店,https://tabelog.com/ishikawa/A1701/A170101/17005669/,3.04,45,1000,11.63906984532685
８番らーめん 笠舞店,https://tabelog.com/ishikawa/A1701/A170101/17000733/,3.01,19,999,9.017154143397512
８番らーめん 犀川大橋店,https://tabelog.com/ishikawa/A1701/A170101/17000220/,3.1,259,999,17.238113056148137
自然派ラーメン 神楽,https://tabelog.com/ishikawa/A1701/A170101/17001321/,3.72,892,1000,25.275862080860577
らーめん松田屋,https://tabelog.com/ishikawa/A1701/A170101/17008429/,3.26,54,999,13.063906183857855
らーめん 集,https://tabelog.com/ishikawa/A1701/A170101/17014333/,3.4,70,999,14.493111581940472
丸源ラーメン 金沢横川店,https://tabelog.com/ishikawa/A1701/A170101/17007809/,3.04,78,999,13.283121471499745
麺や神やぐら 田上店,https://tabelog.com/ishikawa/A1701/A170101/17013634/,3.11,28,1000,10.472290031257934
翠園,https://tabelog.com/ishikawa/A1701/A170101/17009073/,3.02,22,1000,9.469192532106032
らーめん全日本,https://tabelog.com/ishikawa/A1701/A170101/17014142/,3.25,34,999,11.554881199840594
炭火焼肉 康,https://tabelog.com/ishikawa/A1701/A170101/17010826/,3.2,26,3000,10.546677971213853
大野湊食堂,https://tabelog.com/ishikawa/A1701/A170101/17009278/,3.32,80,1000,14.589571193512498
加賀 白山そば,https://tabelog.com/ishikawa/A1701/A170101/17001379/,3.49,1026,999,24.201046262650667
秀,https://tabelog.com/ishikawa/A1701/A170101/17008373/,3.34,119,1000,15.990222420892032
博多ラーメン べすとん,https://tabelog.com/ishikawa/A1701/A170101/17015644/,3.08,23,1000,9.788405797471674
あぶら屋,https://tabelog.com/ishikawa/A1701/A170101/17014231/,3.11,19,999,9.316727370752911
くるまやラーメン 金沢諸江店,https://tabelog.com/ishikawa/A1701/A170101/17005620/,3.02,43,1000,11.428252694433148
めんや 安寿,https://tabelog.com/ishikawa/A1701/A170101/17011364/,3.46,98,999,15.899114681465681
尾道ラーメン,https://tabelog.com/ishikawa/A1701/A170101/17000135/,3.34,110,999,15.729830872383195
らあめん花月嵐 四十万店,https://tabelog.com/ishikawa/A1701/A170101/17001270/,3.01,20,999,9.164012537547503
チュー 金石店,https://tabelog.com/ishikawa/A1701/A170101/17009626/,3.05,14,999,8.25955311336174
餃子の王将 杜の里店,https://tabelog.com/ishikawa/A1701/A170101/17000761/,3.03,39,999,11.177304745965227
８番らーめん 駅西本町店,https://tabelog.com/ishikawa/A1701/A170101/17005643/,3.07,112,1000,14.513080603446886
金石餃子店,https://tabelog.com/ishikawa/A1701/A170101/17005619/,3.42,113,999,16.197798693509174
王蘭 北町店,https://tabelog.com/ishikawa/A1701/A170101/17006353/,3.36,106,999,15.700704883792003
麺屋 達 金沢駅前店,https://tabelog.com/ishikawa/A1701/A170101/17013645/,3.37,103,1000,15.651597330106426
麺 しも谷,https://tabelog.com/ishikawa/A1701/A170101/17015072/,3.07,13,1000,8.101906001918843
夕介,https://tabelog.com/ishikawa/A1701/A170101/17008350/,3.43,117,999,16.36344826191723
亀次郎,https://tabelog.com/ishikawa/A1701/A170101/17009292/,3.46,135,999,16.99778590464674
らーめん ひかり,https://tabelog.com/ishikawa/A1701/A170101/17012520/,3.09,37,1000,11.240141233554532
